Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Oncogenic_signatures	EIF4E_DN	96	5	5.161936935226704e-05	0.004878030403789236	SORT1:PLAU:SIK3:GATA6:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/EIF4E_DN
GWAScatalog	Abdominal aortic aneurysm	28	14	5.776376869175248e-27	2.5560467646100472e-23	CELSR2:PSRC1:SORT1:IL6R:LPA:CDKN2A:APOA5:ADAMTS8:CHRNA3:CTAGE1:LDLR:PCIF1:ZNF335:MMP9	
GWAScatalog	Coronary artery disease	482	23	1.7717019837163803e-18	3.919890638972492e-15	CELSR2:PSRC1:SORT1:IL6R:SLC22A3:LPA:PLG:CDKN2A:CDKN2B:PLCE1:BUD13:ZNF259:APOA5:SMAD3:CHRNB4:ADAMTS7:HERPUD1:CETP:CTAGE1:LDLR:PCIF1:ZNF335:MMP9	
GWAScatalog	Coronary heart disease	55	11	3.484071987571589e-16	5.139006181668093e-13	CELSR2:PSRC1:SORT1:LPA:MTAP:CDKN2A:CDKN2B:APOA5:SMAD3:ADAMTS7:LDLR	
GWAScatalog	Chronic obstructive pulmonary disease or resting heart rate (pleiotropy)	53	9	9.495085680045897e-13	1.0503938533550774e-09	SEC24C:FUT11:CHCHD1:ZSWIM8:RP11-574K11.31:NDST2:CAMK2G:PLAU:C10orf55:GATA6	
GWAScatalog	Coronary artery disease (myocardial infarction	81	10	1.3656422720950186e-12	1.2085934108040915e-09	SORT1:IL6R:SLC22A3:LPA:PLG:APOA5:SMAD3:ADAMTS7:CETP:LDLR	
GWAScatalog	Myocardial infarction	197	13	1.7051175719887052e-12	1.25752420934167e-09	CELSR2:SORT1:IL6R:LPA:PLG:CDKN2A:CDKN2B:ZNF259:SMAD3:ADAMTS7:CTAGE1:LDLR:ZNF335	
GWAScatalog	Myocardial infarction (early onset)	14	6	1.3049549847165585e-11	8.249179724815388e-09	CELSR2:PSRC1:SORT1:CDKN2A:CDKN2B:LDLR	
GWAScatalog	Lipoprotein (a) levels	77	9	3.189618984406724e-11	1.7642580007499692e-08	CELSR2:PSRC1:SLC22A1:SLC22A3:LPA:PLG:AGPAT4:CETP:LDLR	
GWAScatalog	Parental lifespan	18	6	7.960478906924045e-11	3.913902129237656e-08	CELSR2:PSRC1:LPA:CHRNA5:CHRNA3:LDLR	
GWAScatalog	Low density lipoprotein cholesterol levels	221	12	1.2754283069482323e-10	5.643770258245928e-08	CELSR2:PSRC1:SORT1:LPA:C10orf129:BUD13:ZNF259:SECISBP2L:HERPUD1:CETP:LDLR:PLTP	
GWAScatalog	Response to (pegylated) interferon in chronic hepatitis B	10	5	2.8188016924400675e-10	9.728625259716147e-08	SLC35G1:PLCE1:NOC3L:TBC1D12:HELLS	
GWAScatalog	Parental longevity (father's age at death)	10	5	2.8188016924400675e-10	9.728625259716147e-08	LPA:CDKN2A:CDKN2B:CHRNA5:CHRNA3	
GWAScatalog	Pulmonary artery enlargement and chronic obstructive pulmonary disease	4	4	2.8581271949448567e-10	9.728625259716147e-08	IREB2:PSMA4:CHRNA5:CHRNA3	
GWAScatalog	Aging traits (healthspan	23	6	4.257416092987549e-10	1.3456475865335646e-07	CELSR2:PSRC1:LPA:CHRNA5:CHRNA3:LDLR	
GWAScatalog	Peripheral artery disease	24	6	5.657726421703182e-10	1.6690292944024387e-07	CELSR2:SORT1:LPA:MMP3:CHRNA3:LDLR	
GWAScatalog	HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	107	9	6.411421818961585e-10	1.7731588468065635e-07	CELSR2:LPA:PLG:BUD13:HERPUD1:CETP:LDLR:PLTP:PCIF1	
GWAScatalog	Lipoprotein-associated phospholipase A2 activity and mass	12	5	8.801251756500087e-10	2.290914060147817e-07	CELSR2:PSRC1:SORT1:CETP:LDLR	
GWAScatalog	Coronary artery disease or ischemic stroke	14	5	2.210237228799288e-09	5.147526177598343e-07	SORT1:SLC22A3:LPA:ADAMTS7:LDLR	
GWAScatalog	Cholesterol	14	5	2.210237228799288e-09	5.147526177598343e-07	PSRC1:ZNF259:SIK3:CETP:LDLR	
GWAScatalog	Lipid metabolism phenotypes	30	6	2.446668126016331e-09	5.413253228811133e-07	CELSR2:PSRC1:APOA5:CETP:LDLR:PLTP	
GWAScatalog	Serum metabolite levels (CMS)	57	7	3.8638586846271986e-09	8.141702228321597e-07	CELSR2:PSRC1:APOA5:CETP:LDLR:PLTP:PCIF1	
GWAScatalog	Parental longevity (both parents in top 10%)	6	4	4.2599463804425304e-09	8.568301242480999e-07	LPA:CDKN2A:CDKN2B:CHRNA5	
GWAScatalog	Total cholesterol levels	183	10	4.674425561563215e-09	8.993188308659664e-07	CELSR2:SORT1:LPA:C10orf129:BUD13:ZNF259:APOA5:HERPUD1:CETP:LDLR	
GWAScatalog	Coronary artery disease or large artery stroke	18	5	9.336115385897661e-09	1.7213462742748811e-06	SORT1:SLC22A3:LPA:ADAMTS7:LDLR	
GWAScatalog	LDL cholesterol	146	9	1.0135599632739021e-08	1.7940011349948067e-06	CELSR2:PSRC1:SORT1:LPA:BUD13:APOA5:CETP:GATA6:LDLR	
GWAScatalog	HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	102	8	1.0553534093177712e-08	1.7961303216273607e-06	CELSR2:LPA:PLG:BUD13:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	72	7	2.0475241682703642e-08	3.3556646091097638e-06	LPA:PLG:BUD13:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	73	7	2.2571241409701828e-08	3.567062258497521e-06	LPA:PLG:BUD13:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Post bronchodilator FEV1/FVC ratio	161	9	2.3803222327784247e-08	3.6320434069119066e-06	PACRG:MMP3:BUD13:IREB2:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Parental longevity (combined parental attained age	22	5	2.832152466296997e-08	4.17742488778807e-06	PSRC1:IL6R:LPA:CHRNA3:LDLR	
GWAScatalog	LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	76	7	2.99827690309244e-08	4.279798482640015e-06	CELSR2:LPA:PLG:BUD13:HERPUD1:CETP:LDLR	
GWAScatalog	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	79	7	3.935844257411407e-08	5.442534637201712e-06	CELSR2:LPA:PLG:BUD13:HERPUD1:CETP:LDLR	
GWAScatalog	Lipoprotein (a) levels in response to niacin in statin-treated individuals	3	3	7.088917610768339e-08	8.71346122990275e-06	SLC22A3:LPA:PLG	
GWAScatalog	Lp (a) levels	3	3	7.088917610768339e-08	8.71346122990275e-06	SLC22A3:LPA:PLG	
GWAScatalog	Exhaled carbon monoxide levels	3	3	7.088917610768339e-08	8.71346122990275e-06	CHRNA5:CHRNA3:CHRNB4	
GWAScatalog	Pre bronchodilator FEV1	3	3	7.088917610768339e-08	8.71346122990275e-06	IREB2:CHRNA5:CHRNA3	
GWAScatalog	HDL cholesterol	196	9	1.2955873203758598e-07	1.5494524034224808e-05	CELSR2:SORT1:LPA:APOA5:SIK3:SLC12A3:HERPUD1:CETP:PLTP	
GWAScatalog	Lung cancer	143	8	1.4902718591269556e-07	1.7353823622728366e-05	MTAP:BUD13:SECISBP2L:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Cholesterol	98	7	1.7627603218869744e-07	2.0000549806025287e-05	CELSR2:PSRC1:SORT1:LPA:APOA5:CETP:LDLR	
GWAScatalog	Metabolic syndrome	102	7	2.3217694555848232e-07	2.5684574602407105e-05	LPA:BUD13:ZNF259:APOA5:SIK3:HERPUD1:CETP	
GWAScatalog	LDL cholesterol levels	212	9	2.523923415210268e-07	2.6615835175883548e-05	CELSR2:SORT1:SLC22A1:LPA:APOA5:HERPUD1:CETP:LDLR:PLTP	
GWAScatalog	Triglyceride levels	527	13	2.6723274369357465e-07	2.6615835175883548e-05	SLC22A1:LPA:PLG:BUD13:ZNF259:APOA5:SIK3:MAP2K5:HERPUD1:CETP:CTAGE1:PLTP:PCIF1	
GWAScatalog	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	14	4	2.7712592263883767e-07	2.6615835175883548e-05	PLCE1:NOC3L:TBC1D12:HELLS	
GWAScatalog	Smoking status (heavy vs light)	4	3	2.826992662749213e-07	2.6615835175883548e-05	CHRNA5:CHRNA3:CHRNB4	
GWAScatalog	Medication use (salicylic acid and derivatives)	4	3	2.826992662749213e-07	2.6615835175883548e-05	PSRC1:LPA:LDLR	
GWAScatalog	Coronary heart disease x type 2 diabetes interaction	4	3	2.826992662749213e-07	2.6615835175883548e-05	SORT1:CDKN2A:CDKN2B	
GWAScatalog	Plasma plasminogen levels	4	3	2.826992662749213e-07	2.6615835175883548e-05	SLC22A3:LPA:PLG	
GWAScatalog	Diffusing capacity of carbon monoxide	68	6	3.9754485873353534e-07	3.664866666449779e-05	IREB2:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	HDL Cholesterol - Triglycerides (HDLC-TG)	5	3	7.046113925106444e-07	6.11354002325412e-05	BUD13:APOA5:CETP	
GWAScatalog	Progranulin levels	5	3	7.046113925106444e-07	6.11354002325412e-05	CELSR2:PSRC1:SORT1	
GWAScatalog	Intracranial	5	3	7.046113925106444e-07	6.11354002325412e-05	CDKN2A:CDKN2B:FBN1	
GWAScatalog	Post bronchodilator FEV1/FVC ratio in COPD	42	5	8.569234412596041e-07	7.292088899180285e-05	MMP3:IREB2:CHRNA5:CHRNA3:CHRNB4	
GWAScatalog	Serum metabolite levels	322	10	9.315401027719479e-07	7.777481046728056e-05	CELSR2:PSRC1:SLC22A1:APOA5:PSMA4:HERPUD1:CETP:LDLR:PLTP:PCIF1	
GWAScatalog	HDL cholesterol levels	504	12	1.173244664418867e-06	9.614088222321271e-05	CELSR2:LPA:PACRG:BUD13:APOA5:SIK3:SMAD3:SLC12A3:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Lung adenocarcinoma	84	6	1.4000443087675134e-06	0.00011101715287342572	MTAP:SECISBP2L:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Emphysema distribution in smoking	6	3	1.4049628386241447e-06	0.00011101715287342572	IREB2:CHRNA5:CHRNA3	
GWAScatalog	HDL cholesterol levels in current drinkers	90	6	2.1022131413271653e-06	0.00016319812544513521	CELSR2:BUD13:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	High density lipoprotein cholesterol levels	146	7	2.6312853166525692e-06	0.00020074892286530376	LPA:ZNF259:APOA5:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Medication use (antithrombotic agents)	8	3	3.910153989894542e-06	0.0002883738567547225	CELSR2:LPA:LDLR	
GWAScatalog	Low HDL-cholesterol levels	8	3	3.910153989894542e-06	0.0002883738567547225	APOA5:HERPUD1:CETP	
GWAScatalog	Post bronchodilator FEV1	105	6	5.170157176662621e-06	0.00037504828699560816	IREB2:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Proportion of activated microglia (midfrontal cortex)	9	3	5.847509450167327e-06	0.00041071792566651464	AAGAB:MAP2K5:SKOR1	
GWAScatalog	Metabolically unhealthy in normal weight	9	3	5.847509450167327e-06	0.00041071792566651464	CDKN2B:APOA5:CETP	
GWAScatalog	Esophageal squamous cell carcinoma	10	3	8.328348988562431e-06	0.0005669683734521347	CDKN2A:CDKN2B:PLCE1	
GWAScatalog	Response to Vitamin E supplementation	10	3	8.328348988562431e-06	0.0005669683734521347	BUD13:APOA5:SIK3	
GWAScatalog	Triglyceride levels in current drinkers	67	5	8.965440741159973e-06	0.0006010920496914072	BUD13:HERPUD1:CETP:PLTP:PCIF1	
GWAScatalog	Lipoprotein phospholipase A2 activity in cardiovascular disease	11	3	1.1416890817495407e-05	0.0007540259980211519	CELSR2:LPA:LDLR	
GWAScatalog	HDL Cholesterol in HIV-infection	2	2	1.735199135623753e-05	0.0010968937393050153	HERPUD1:CETP	
GWAScatalog	Hypo-HDL-cholesterolemia	2	2	1.735199135623753e-05	0.0010968937393050153	HERPUD1:CETP	
GWAScatalog	Cotinine levels in smokers with chronic obstructive pulmonary disease	2	2	1.735199135623753e-05	0.0010968937393050153	CHRNA5:CHRNA3	
GWAScatalog	Apolipoprotein B levels	197	7	1.87741662801003e-05	0.0011700800815414624	CELSR2:SLC22A1:LPA:SIK3:CETP:LDLR:PLTP	
GWAScatalog	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	15	3	3.110443759317978e-05	0.0018599613020246018	IL6R:MMP3:MMP13	
GWAScatalog	C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	15	3	3.110443759317978e-05	0.0018599613020246018	CELSR2:CETP:PLTP	
GWAScatalog	C-reactive protein levels or triglyceride levels (pleiotropy)	15	3	3.110443759317978e-05	0.0018599613020246018	CETP:PLTP:ZNF335	
GWAScatalog	Triglycerides	149	6	3.811159412373555e-05	0.0022222144111281633	LPA:BUD13:APOA5:SIK3:CETP:PLTP	
GWAScatalog	Response to statins (LDL cholesterol change)	16	3	3.816684638321817e-05	0.0022222144111281633	SORT1:LPA:LDLR	
GWAScatalog	Lung cancer in ever smokers	93	5	4.432131117522588e-05	0.0025470363889659024	SECISBP2L:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Pre bronchodilator FEV1/FVC ratio	3	2	5.1914195719262626e-05	0.002836053284663421	CHRNA5:CHRNA3	
GWAScatalog	End stage renal disease x APOL1 genotype interaction	3	2	5.1914195719262626e-05	0.002836053284663421	LPA:PLG	
GWAScatalog	Cardiovascular risk factors	3	2	5.1914195719262626e-05	0.002836053284663421	HERPUD1:CETP	
GWAScatalog	Metabolically unhealthy in obesity	3	2	5.1914195719262626e-05	0.002836053284663421	APOA5:CETP	
GWAScatalog	Cardiovascular disease risk factors	18	3	5.5279439807721096e-05	0.0029471267608333234	CELSR2:CETP:LDLR	
GWAScatalog	Parental longevity (father's attained age)	18	3	5.5279439807721096e-05	0.0029471267608333234	PSRC1:LPA:CHRNA3	
GWAScatalog	Response to statin therapy	52	4	6.642010932363797e-05	0.003498916473298786	CELSR2:PSRC1:SORT1:LPA	
GWAScatalog	Body mass index (age>50)	53	4	7.161451177698957e-05	0.0037281672307432805	SLC22A1:SLC22A3:LPA:PLG	
GWAScatalog	Lipid traits	21	3	8.928727127003997e-05	0.004594141574068917	BUD13:APOA5:CETP	
GWAScatalog	LDL cholesterol levels in current drinkers	58	4	0.00010212815008770523	0.0048743583813510875	CELSR2:LPA:PLG:LDLR	
GWAScatalog	Medication use (agents acting on the renin-angiotensin system)	111	5	0.00010307091989046346	0.0048743583813510875	CELSR2:LPA:PLCE1:FGF9:LDLR	
GWAScatalog	LDL cholesterol levels x long total sleep time interaction (2df test)	22	3	0.0001030735425329982	0.0048743583813510875	PSRC1:SLC22A1:LDLR	
GWAScatalog	Low density lipoprotein cholesterol levels (on statin treatment)	4	2	0.00010354569216881407	0.0048743583813510875	SORT1:LPA	
GWAScatalog	Vitamin E levels	4	2	0.00010354569216881407	0.0048743583813510875	BUD13:APOA5	
GWAScatalog	Response to statins (LDL cholesterol percent change)	4	2	0.00010354569216881407	0.0048743583813510875	SORT1:LPA	
GWAScatalog	Parental longevity (mother's age at death or mother's attained age)	4	2	0.00010354569216881407	0.0048743583813510875	LPA:CHRNA3	
GWAScatalog	Esophageal cancer and gastric cancer	4	2	0.00010354569216881407	0.0048743583813510875	PLCE1:NOC3L	
GWAScatalog	Pulse pressure	560	10	0.00011270152491993555	0.005249518397586472	SLC22A3:SUGCT:MTAP:CDKN2B:PLCE1:BUD13:ADAMTS8:FBN1:SMAD3:ADAMTS7	
GWAScatalog	Medication use (HMG CoA reductase inhibitors)	60	4	0.00011663879680410375	0.005376319540189157	CELSR2:SLC22A1:LPA:LDLR	
GWAScatalog	HDL levels x fish oil supplementation interaction (2df)	5	2	0.00017210641267980008	0.007692635112203185	SIK3:SLC12A3	
GWAScatalog	Lipid or lipoprotein levels	5	2	0.00017210641267980008	0.007692635112203185	LPA:CETP	
GWAScatalog	Triglycerides-Blood Pressure (TG-BP)	5	2	0.00017210641267980008	0.007692635112203185	BUD13:APOA5	
GWAScatalog	LDL cholesterol levels x short total sleep time interaction (2df test)	27	3	0.0001928405787915131	0.008533195611524455	PSRC1:SLC22A1:LDLR	
GWAScatalog	Nicotine dependence	28	3	0.00021533087648961037	0.009434050776896297	CHRNA5:CHRNA3:CHRNB4	
GWAScatalog	Parental longevity (mother's attained age)	6	2	0.00025745713760301763	0.01085899417526628	LPA:CHRNA3	
GWAScatalog	Metabolic syndrome (bivariate traits)	6	2	0.00025745713760301763	0.01085899417526628	BUD13:CETP	
GWAScatalog	Waist Circumference - Triglycerides (WC-TG)	6	2	0.00025745713760301763	0.01085899417526628	BUD13:APOA5	
GWAScatalog	Crohn's disease	505	9	0.0002576710482266575	0.01085899417526628	SEC24C:FUT11:CHCHD1:ZSWIM8:RP11-574K11.31:NDST2:CAMK2G:PLAU:C10orf55:SMAD3	
GWAScatalog	Endometrial cancer (endometrioid histology)	30	3	0.0002652581969508749	0.011073278504788883	CDKN2A:CDKN2B:GATA6	
GWAScatalog	Chronic obstructive pulmonary disease	137	5	0.0002760423949475687	0.011415771940588704	IREB2:HYKK:CHRNA5:CHRNA3:CHRNB4	
GWAScatalog	HDL cholesterol levels x short total sleep time interaction (2df test)	33	3	0.000353255804999955	0.014201859359754637	PSRC1:ZNF259:CETP	
GWAScatalog	HDL cholesterol levels x long total sleep time interaction (2df test)	33	3	0.000353255804999955	0.014201859359754637	PSRC1:ZNF259:CETP	
GWAScatalog	Body mass index x sex x age interaction (4df test)	80	4	0.0003550738453880536	0.014201859359754637	SLC22A1:SLC22A3:LPA:PLG	
GWAScatalog	Exhaled carbon monoxide levels in smokers with chronic obstructive pulmonary disease	7	2	0.0003594594911395524	0.014201859359754637	CHRNA5:CHRNA3	
GWAScatalog	Chronic bronchitis and chronic obstructive pulmonary disease	7	2	0.0003594594911395524	0.014201859359754637	IREB2:CHRNA3	
GWAScatalog	Central corneal thickness	81	4	0.0003723388476538386	0.014580525671400316	ADAMTS8:FGF9:FBN1:SMAD3	
GWAScatalog	Post bronchodilator FEV1 in COPD	35	3	0.00042121819481074024	0.016207743582935006	IREB2:CHRNA5:CHRNA3	
GWAScatalog	Endometrial cancer	35	3	0.00042121819481074024	0.016207743582935006	CDKN2A:CDKN2B:GATA6	
GWAScatalog	Vertical cup-disc ratio	36	3	0.0004581284598299124	0.0174760209892014	CDKN2B:PLCE1:ADAMTS8	
GWAScatalog	Local histogram emphysema pattern	8	2	0.00047797593684395555	0.017773474962474816	CHRNA5:CHRNA3	
GWAScatalog	Thiopurine-induced alopecia in inflammatory bowel disease	8	2	0.00047797593684395555	0.017773474962474816	TBC1D12:HELLS	
GWAScatalog	Current cigarettes per day in chronic obstructive pulmonary disease	8	2	0.00047797593684395555	0.017773474962474816	IREB2:CHRNA3	
GWAScatalog	Cortisol levels (saliva)	9	2	0.0006128697732460924	0.022048363793609423	INHBA:LDLR	
GWAScatalog	Cardiovascular risk factors (age interaction)	9	2	0.0006128697732460924	0.022048363793609423	BUD13:APOA5	
GWAScatalog	Parental longevity (combined parental age at death)	9	2	0.0006128697732460924	0.022048363793609423	LPA:CHRNA5	
GWAScatalog	Nasopharyngeal carcinoma	9	2	0.0006128697732460924	0.022048363793609423	CDKN2A:CDKN2B	
GWAScatalog	Autism spectrum disorder or schizophrenia	355	7	0.0007177348939548974	0.025608745826630894	IREB2:HYKK:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	
GWAScatalog	Restless legs syndrome	42	3	0.0007234108990573699	0.025608745826630894	SMAD3:MAP2K5:SKOR1	
GWAScatalog	Coronary artery calcification	43	3	0.0007753300660758459	0.02722885351099697	CDKN2A:CDKN2B:ADAMTS7	
GWAScatalog	Apolipoprotein A1 levels	362	7	0.0008048285980915554	0.028042256272087656	CELSR2:LPA:PACRG:BUD13:APOA5:CETP:PLTP	
GWAScatalog	Fasting triglyceride levels	11	2	0.0009312469600890398	0.032193498424953136	ZNF259:APOA5	
GWAScatalog	Postprandial triglyceride levels	12	2	0.0011144610423098036	0.038228605521092106	ZNF259:APOA5	
GWAScatalog	Pulmonary function	49	3	0.0011367984794327115	0.03869487131915191	IL6R:CHRNA5:CHRNA3	
GWAScatalog	Red cell distribution width	401	7	0.0014549594754255603	0.04914653189891683	IL6R:CDKN2A:TBC1D12:HELLS:BUD13:SIK3:PCIF1	
Positional_gene_sets	chr10q22	91	10	4.519258900388281e-12	1.3557776701164842e-09	SEC24C:FUT11:CHCHD1:ZSWIM8:RP11-574K11.31:NDST2:CAMK2G:PLAU:C10orf55:AP3M1:ADK	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr10q22
Positional_gene_sets	chr6q26	7	5	2.3721976481435243e-11	3.5582964722152863e-09	LPA:PLG:AGPAT4:PARK2:PACRG	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr6q26
Positional_gene_sets	chr15q25	70	7	1.677399805514427e-08	1.677399805514427e-06	IREB2:HYKK:PSMA4:CHRNA5:CHRNA3:CHRNB4:ADAMTS7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr15q25
Positional_gene_sets	chr16q13	26	5	6.982449925233008e-08	5.236837443924756e-06	SLC12A3:HERPUD1:CETP:FAM192A:RSPRY1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr16q13
Positional_gene_sets	chr15q23	33	5	2.462238247613289e-07	1.4773429485679733e-05	AAGAB:IQCH:C15orf61:MAP2K5:SKOR1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr15q23
Positional_gene_sets	chr1p13	115	7	5.2742164023741e-07	2.6371082011870496e-05	SARS:CELSR2:PSRC1:SORT1:SYPL2:ATXN7L2:CYB561D1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr1p13
Positional_gene_sets	chr10q23	84	6	1.4000443087675134e-06	6.0001898947179144e-05	SLC35G1:PLCE1:NOC3L:TBC1D12:HELLS:C10orf129	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr10q23
Positional_gene_sets	chr20q13	214	7	3.193699636248605e-05	0.0011976373635932268	WFDC3:ZSWIM3:CTSA:PLTP:PCIF1:ZNF335:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr20q13
Positional_gene_sets	chr15q21	83	4	0.00040865776242563563	0.013621925414187854	FBN1:CEP152:EID1:SECISBP2L	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr15q21
Positional_gene_sets	chr9p21	47	3	0.001006532660437223	0.03019597981311669	MTAP:CDKN2A:CDKN2B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr9p21
Positional_gene_sets	chr11q23	116	4	0.0014346803939018838	0.03912764710641501	BUD13:ZNF259:APOA5:SIK3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr11q23
Immunologic_signatures	GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP	191	7	1.537257953056692e-05	0.047408466638031325	SLC22A1:PLG:CDKN2B:SLC12A3:HERPUD1:LDLR:CTSA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP
Immunologic_signatures	GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_DN	196	7	1.8167643854390238e-05	0.047408466638031325	SYPL2:INHBA:CDKN2B:FBN1:SECISBP2L:HERPUD1:LDLR	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_DN
Cancer_modules	MODULE_211	11	3	1.1416890817495407e-05	0.0029213373339595466	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_211
Cancer_modules	MODULE_107	74	5	1.4616249816766024e-05	0.0029213373339595466	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_107
Cancer_modules	MODULE_280	41	4	2.5728965759938687e-05	0.0029213373339595466	MMP3:MMP13:ZNF259:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_280
Cancer_modules	MODULE_209	84	5	2.7112179433499272e-05	0.0029213373339595466	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_209
Cancer_modules	MODULE_172	91	5	3.9918719284203874e-05	0.003440993602298374	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_172
Cancer_modules	MODULE_562	19	3	6.544631274238776e-05	0.004701226798661521	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_562
Cancer_modules	MODULE_210	26	3	0.00017193181972209267	0.010076883867133107	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_210
Cancer_modules	MODULE_324	126	5	0.0001870419279282247	0.010076883867133107	MMP3:MMP13:FBN1:LDLR:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_324
