# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_NEGATIVE_REGULATION_OF_...473       SET      12     0.072435    0.0018068      0.24095      0.38185 GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY
GOBP_NEGATIVE_REGULATION_OF_...474       SET       7     -0.36522   -0.0069589      0.27369      0.90896 GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY
GOBP_NEGATIVE_REGULATION_OF_...475       SET       7    -0.038463  -0.00073288      0.25022      0.56108 GOBP_NEGATIVE_REGULATION_OF_NUCLEASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...476       SET    1403     0.048286     0.012545     0.021956     0.013938 GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...477       SET      23    -0.013181  -0.00045504      0.16888       0.5311 GOBP_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...478       SET       5        0.217    0.0034946      0.34873      0.26689 GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...479       SET      22      0.35712     0.012059        0.174     0.020073 GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...480       SET      14     -0.32167   -0.0086664      0.23738      0.91229 GOBP_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...481       SET      41     -0.11477   -0.0052876      0.11564      0.83951 GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...482       SET     333      0.01257    0.0016379     0.042402      0.38345 GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_...483       SET      22      -0.1132   -0.0038224      0.16952      0.74786 GOBP_NEGATIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...484       SET      30      0.46345      0.01827      0.15814    0.0016932 GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH
GOBP_NEGATIVE_REGULATION_OF_...485       SET      34     -0.15193   -0.0063757      0.14575      0.85139 GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION
GOBP_NEGATIVE_REGULATION_OF_...486       SET      44      0.17751    0.0084716      0.12105     0.071283 GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...487       SET      12      0.15787     0.003938      0.21441      0.23077 GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...488       SET       5       1.0625     0.017111      0.44095    0.0079919 GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT
GOBP_NEGATIVE_REGULATION_OF_...489       SET      31      0.21068    0.0084424      0.14714     0.076112 GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...490       SET       7     0.056725    0.0010808      0.31387      0.42829 GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...491       SET      44      0.10786    0.0051477      0.10858      0.16028 GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH
GOBP_NEGATIVE_REGULATION_OF_...492       SET      17      0.16106    0.0047811      0.14797       0.1382 GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...493       SET      20    -0.074347   -0.0023937       0.1711      0.66804 GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_DEATH
GOBP_NEGATIVE_REGULATION_OF_...494       SET       4      0.15595    0.0022463      0.28725       0.2936 GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...495       SET      23        0.142    0.0049025      0.15969      0.18694 GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...496       SET       7      0.17314    0.0032991      0.26031      0.25298 GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE
GOBP_NEGATIVE_REGULATION_OF_...497       SET      11   -0.0046979   -0.0001122       0.2549      0.50735 GOBP_NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...498       SET     201    -0.043516   -0.0044207     0.059193      0.76887 GOBP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...499       SET      43     0.078845    0.0037199      0.13231      0.27562 GOBP_NEGATIVE_REGULATION_OF_PEPTIDE_SECRETION
GOBP_NEGATIVE_REGULATION_OF_...500       SET       5      0.51331    0.0082665      0.28417     0.035443 GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION
GOBP_NEGATIVE_REGULATION_OF_...501       SET      17     -0.25687   -0.0076255      0.18146      0.92155 GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION
GOBP_NEGATIVE_REGULATION_OF_...502       SET      25      0.10045    0.0036152      0.16005      0.26514 GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...503       SET      17     0.018682   0.00055458      0.18227      0.45918 GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...504       SET      50     -0.24062     -0.01224      0.11966      0.97782 GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...505       SET       6       0.1409    0.0024856      0.40012      0.36237 GOBP_NEGATIVE_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...506       SET      20     0.099168    0.0031928       0.1908      0.30162 GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS
GOBP_NEGATIVE_REGULATION_OF_...507       SET      33       0.2459     0.010166      0.12953     0.028833 GOBP_NEGATIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...508       SET      13      0.44605      0.01158      0.18726    0.0086163 GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING
GOBP_NEGATIVE_REGULATION_OF_...509       SET       6     -0.47707    -0.008416      0.37479      0.89847 GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...510       SET       7       0.3748    0.0071413      0.31097      0.11406 GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...511       SET      23      0.25509    0.0088068      0.15778     0.052975 GOBP_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...512       SET     404      0.03442    0.0049308     0.039963      0.19454 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...513       SET     351   -0.0086719   -0.0011596     0.042753      0.58037 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...514       SET       6      0.39579     0.006982      0.45822      0.19387 GOBP_NEGATIVE_REGULATION_OF_PHOTORECEPTOR_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...515       SET       5     -0.20536   -0.0033072      0.29177      0.75923 GOBP_NEGATIVE_REGULATION_OF_PINOCYTOSIS
GOBP_NEGATIVE_REGULATION_OF_...516       SET      32     -0.12161    -0.004951      0.13667      0.81321 GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...517       SET       8     0.014328   0.00029184      0.24247      0.47644 GOBP_NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...518       SET      19      -0.1608   -0.0050463      0.17706       0.8181 GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...519       SET      13     -0.10576   -0.0027459      0.21278      0.69042 GOBP_NEGATIVE_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...520       SET      14       0.2725    0.0073417      0.20368     0.090469 GOBP_NEGATIVE_REGULATION_OF_POST_TRANSCRIPTIONAL_GENE_SILENCING
GOBP_NEGATIVE_REGULATION_OF_...521       SET      23      -0.1205     -0.00416      0.17906       0.7495 GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...522       SET      30    -0.088269   -0.0034797      0.15982      0.70963 GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...523       SET      45    -0.022493   -0.0010856      0.11711      0.57615 GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...524       SET      17     -0.20474   -0.0060779      0.19981      0.84724 GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH
GOBP_NEGATIVE_REGULATION_OF_...525       SET       2      -0.6026   -0.0061381       0.5803      0.85046 GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...526       SET      42     0.079129    0.0036898      0.11422      0.24423 GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...527       SET      33     0.088249    0.0036484      0.12601      0.24186 GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...528       SET      19     -0.21538   -0.0067589      0.16823      0.89976 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_ACETYLATION
GOBP_NEGATIVE_REGULATION_OF_...529       SET      12     -0.27948   -0.0069713      0.22121      0.89677 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...530       SET      92     0.032843    0.0022636      0.07791      0.33668 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING
GOBP_NEGATIVE_REGULATION_OF_...531       SET     100     0.092906    0.0066747      0.07485      0.10727 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...532       SET       5    -0.099555   -0.0016033       0.3269      0.61964 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE
GOBP_NEGATIVE_REGULATION_OF_...533       SET     137   -0.0090927  -0.00076387     0.064236      0.55628 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...534       SET      76    -0.011178  -0.00070053     0.089142      0.54989 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...535       SET      31      0.23864     0.009563      0.13769     0.041542 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...536       SET      10   3.2496e-05      7.4e-07      0.25213      0.49995 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM
GOBP_NEGATIVE_REGULATION_OF_...537       SET       6      -0.1312   -0.0023145      0.30263      0.66768 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS
GOBP_NEGATIVE_REGULATION_OF_...538       SET      15   -0.0051655  -0.00014405      0.21006      0.50981 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS
GOBP_NEGATIVE_REGULATION_OF_...539       SET       7      0.26659    0.0050796      0.24009      0.13343 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION
GOBP_NEGATIVE_REGULATION_OF_...540       SET       7     -0.35956    -0.006851      0.31439      0.87361 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY_BY_REGULATION_OF_PROTEIN_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...541       SET      40     -0.13127   -0.0059739      0.12645      0.85039 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING
GOBP_NEGATIVE_REGULATION_OF_...542       SET     186     0.040801    0.0039887     0.057754      0.23996 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION
GOBP_NEGATIVE_REGULATION_OF_...543       SET      26    -0.062797   -0.0023049      0.13233      0.68244 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY
GOBP_NEGATIVE_REGULATION_OF_...544       SET      11      0.31982    0.0076381      0.26643      0.11501 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE
GOBP_NEGATIVE_REGULATION_OF_...545       SET      31   -0.0054021  -0.00021648      0.12098      0.51781 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE
GOBP_NEGATIVE_REGULATION_OF_...546       SET       5    -0.048207  -0.00077633      0.40763      0.54707 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MICROTUBULE
GOBP_NEGATIVE_REGULATION_OF_...547       SET      32     0.048547    0.0019765      0.14682      0.37046 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS
GOBP_NEGATIVE_REGULATION_OF_...548       SET      26     0.021553   0.00079109      0.14921      0.44257 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MATURATION
GOBP_NEGATIVE_REGULATION_OF_...549       SET     945    0.0047513    0.0010259     0.026442       0.4287 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...550       SET      89     0.030101    0.0020407     0.082101      0.35695 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL
GOBP_NEGATIVE_REGULATION_OF_...551       SET     460     0.009031    0.0013784     0.037553      0.40498 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...552       SET      74     0.050232    0.0031065     0.085386      0.27817 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION
GOBP_NEGATIVE_REGULATION_OF_...553       SET      10      0.39802    0.0090638      0.20502     0.026114 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION
GOBP_NEGATIVE_REGULATION_OF_...554       SET      62     0.019259    0.0010906      0.10718       0.4287 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SECRETION
GOBP_NEGATIVE_REGULATION_OF_...555       SET     112   -0.0092059  -0.00069972     0.074304       0.5493 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...556       SET       8     -0.19132   -0.0038969      0.26555      0.76437 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SUMOYLATION
GOBP_NEGATIVE_REGULATION_OF_...557       SET       5     -0.48013   -0.0077322      0.31391      0.93692 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE
GOBP_NEGATIVE_REGULATION_OF_...558       SET       6     -0.36479   -0.0064353      0.36384      0.84197 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION
GOBP_NEGATIVE_REGULATION_OF_...559       SET      29     -0.23692   -0.0091832      0.16648      0.92264 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...560       SET     282    -0.040534    -0.004867     0.047942      0.80107 GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS
GOBP_NEGATIVE_REGULATION_OF_...561       SET      56     0.029729    0.0016001      0.10129      0.38457 GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...562       SET      15      0.19165    0.0053444      0.15714      0.11131 GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...563       SET      40      0.11858    0.0053965      0.10892      0.13814 GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...564       SET      11     -0.15648   -0.0037371      0.23222      0.74979 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_BINDING
GOBP_NEGATIVE_REGULATION_OF_...565       SET      15      0.13775    0.0038414      0.19898      0.24438 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION
GOBP_NEGATIVE_REGULATION_OF_...566       SET      31      0.11974    0.0047984      0.14279      0.20085 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS
GOBP_NEGATIVE_REGULATION_OF_...567       SET       5      0.49508    0.0079729      0.33833       0.0717 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING
GOBP_NEGATIVE_REGULATION_OF_...568       SET      21      0.15554    0.0051312      0.16993      0.18002 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT
GOBP_NEGATIVE_REGULATION_OF_...569       SET      24      0.16078      0.00567      0.16112      0.15918 GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT
GOBP_NEGATIVE_REGULATION_OF_...570       SET      23     0.063914    0.0022066       0.1629       0.3474 GOBP_NEGATIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...571       SET       5     -0.87601    -0.014108      0.31564      0.99724 GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...572       SET       6     0.077846    0.0013733      0.36349      0.41521 GOBP_NEGATIVE_REGULATION_OF_RELAXATION_OF_MUSCLE
GOBP_NEGATIVE_REGULATION_OF_...573       SET      20     0.011884   0.00038263      0.15733      0.46989 GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA
GOBP_NEGATIVE_REGULATION_OF_...574       SET      69      0.11614    0.0069366     0.095048      0.11088 GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...575       SET       6     -0.04013  -0.00070794      0.32361      0.54934 GOBP_NEGATIVE_REGULATION_OF_RESPIRATORY_BURST
GOBP_NEGATIVE_REGULATION_OF_...576       SET       5    -0.065629   -0.0010569      0.35141      0.57407 GOBP_NEGATIVE_REGULATION_OF_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...577       SET     114      0.15675     0.012019     0.074741     0.017994 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...578       SET      70     0.054949    0.0033055     0.096866      0.28527 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...579       SET      75     0.013609    0.0008473     0.084415      0.43596 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...580       SET      41     0.086245    0.0039736      0.11936      0.23498 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS
GOBP_NEGATIVE_REGULATION_OF_...581       SET     385     0.073596     0.010297     0.040699     0.035289 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...582       SET      10      0.60644      0.01381      0.28272     0.015984 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_FOOD
GOBP_NEGATIVE_REGULATION_OF_...583       SET      20     0.073913    0.0023797      0.17053      0.33236 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS
GOBP_NEGATIVE_REGULATION_OF_...584       SET      16      0.13653     0.003932      0.18758      0.23336 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES
GOBP_NEGATIVE_REGULATION_OF_...585       SET    1519     0.030046    0.0080957     0.021255     0.078749 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...586       SET       5      0.29343    0.0047254      0.27597      0.14384 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL
GOBP_NEGATIVE_REGULATION_OF_...587       SET       7      0.48707    0.0092807      0.28773     0.045256 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_TYPE_II_INTERFERON
GOBP_NEGATIVE_REGULATION_OF_...588       SET      86    -0.046415   -0.0030935     0.083042      0.71189 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING
GOBP_NEGATIVE_REGULATION_OF_...589       SET       9      0.25303    0.0054665      0.27141       0.1756 GOBP_NEGATIVE_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...590       SET      22      0.11982    0.0040459      0.18971      0.26382 GOBP_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION
GOBP_NEGATIVE_REGULATION_OF_...591       SET       8     0.037301   0.00075978      0.28048       0.4471 GOBP_NEGATIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...592       SET    1185      0.04951     0.011893     0.023954      0.01938 GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...593       SET      73    -0.065147   -0.0040017     0.087314       0.7722 GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...594       SET       4     -0.08669   -0.0012487      0.40678      0.58438 GOBP_NEGATIVE_REGULATION_OF_RNA_POLYMERASE_II_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING
GOBP_NEGATIVE_REGULATION_OF_...595       SET      25     0.044746    0.0016105      0.14701      0.38043 GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING
GOBP_NEGATIVE_REGULATION_OF_...596       SET       7     -0.46246   -0.0088116      0.34326      0.91104 GOBP_NEGATIVE_REGULATION_OF_RUFFLE_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...597       SET      11      0.25492    0.0060883      0.23618      0.14022 GOBP_NEGATIVE_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...598       SET       8     0.026197   0.00053361      0.28827       0.4638 GOBP_NEGATIVE_REGULATION_OF_SCHWANN_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...599       SET       6     -0.43015   -0.0075883      0.37419      0.87483 GOBP_NEGATIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...600       SET     156     0.069831    0.0062569     0.067533      0.15057 GOBP_NEGATIVE_REGULATION_OF_SECRETION
GOBP_NEGATIVE_REGULATION_OF_...601       SET       6      0.37658    0.0066432      0.29595      0.10162 GOBP_NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE
GOBP_NEGATIVE_REGULATION_OF_...602       SET       5     -0.11427   -0.0018402      0.39782      0.61303 GOBP_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...603       SET       4      0.72281     0.010412      0.51027     0.078322 GOBP_NEGATIVE_REGULATION_OF_SEROTONIN_SECRETION
GOBP_NEGATIVE_REGULATION_OF_...604       SET    1277     0.022892    0.0056939     0.023125      0.16112 GOBP_NEGATIVE_REGULATION_OF_SIGNALING
GOBP_NEGATIVE_REGULATION_OF_...605       SET      47     -0.10131   -0.0049968      0.11379      0.81336 GOBP_NEGATIVE_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...606       SET      30    -0.082206   -0.0032407      0.13824      0.72397 GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR
GOBP_NEGATIVE_REGULATION_OF_...607       SET      33      0.23372    0.0096627       0.1299     0.036004 GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND
GOBP_NEGATIVE_REGULATION_OF_...608       SET      15      0.21058    0.0058722      0.23359      0.18367 GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE
GOBP_NEGATIVE_REGULATION_OF_...609       SET       3     -0.49732   -0.0062041      0.49125      0.84431 GOBP_NEGATIVE_REGULATION_OF_SISTER_CHROMATID_COHESION
GOBP_NEGATIVE_REGULATION_OF_...610       SET       5     -0.55147   -0.0088811      0.34866      0.94313 GOBP_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...611       SET       5     -0.35355   -0.0056937      0.39084      0.81715 GOBP_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_PROLIFERATION
